keep_street,new_name,notes,osm_id,city
0,,apt complex - not a road,23489757,North Vancouver
1,Harbourside Dr,,23489099,North Vancouver
0,,Phibbs exchange - not a road,23498115,North Vancouver
0,,apt complex - not a road,23603704,North Vancouver
0,,reservation - private road,23593747,North Vancouver
0,,reservation - private road,23593752,North Vancouver
0,,reservation - private road,23603599,North Vancouver
0,,reservation - private road,23603607,North Vancouver
0,,reservation - private road,23603604,North Vancouver
0,,reservation - private road,23603620,North Vancouver
0,,reservation - private road,23603622,North Vancouver
0,,reservation - private road,23594145,North Vancouver
0,,apt complex - not a road,23614644,North Vancouver
0,,parking lot - not a road,23626106,North Vancouver
0,,apt complex - not a road,23626628,North Vancouver
0,,apt complex - not a road,23655706,North Vancouver
0,,apt complex - not a road,23655712,North Vancouver
0,,apt complex - not a road,23655716,North Vancouver
0,,not a road,23655870,North Vancouver
1,Dempsey Rd,,23661768,North Vancouver
0,,apt complex - not a road,23660776,North Vancouver
0,,apt complex - not a road,23660904,North Vancouver
0,,apt complex - not a road,23655718,North Vancouver
0,,apt complex - not a road,23655719,North Vancouver
0,,apt complex - not a road,23655720,North Vancouver
0,,apt complex - not a road,23655723,North Vancouver
0,,apt complex - not a road,23660938,North Vancouver
0,,apt complex - not a road,23660959,North Vancouver
0,,not a road,23675544,North Vancouver
0,,apt complex - not a road,23670522,North Vancouver
0,,apt complex - not a road,23670547,North Vancouver
0,,not a road,23670147,North Vancouver
0,,parking lot - not a road,23675280,North Vancouver
0,,parking lot - not a road,23675331,North Vancouver
0,,parking lot - not a road,23675356,North Vancouver
0,,private property - not a road,23674726,North Vancouver
0,,alley - not a road,23673440,North Vancouver
0,,not a road,23673470,North Vancouver
0,,apt complex - not a road,23669403,North Vancouver
0,,not a road,23669864,North Vancouver
0,,apt complex - not a road,23669560,North Vancouver
0,,apt complex - not a road,23661873,North Vancouver
0,,apt complex - not a road,23661883,North Vancouver
0,,apt complex - not a road,23671121,North Vancouver
0,,apt complex - not a road,23671131,North Vancouver
0,,apt complex - not a road,23671141,North Vancouver
0,,apt complex - not a road,23671159,North Vancouver
0,,apt complex - not a road,23671167,North Vancouver
0,,apt complex - not a road,23670517,North Vancouver
0,,apt complex - not a road,23670522,North Vancouver
0,,apt complex - not a road,23670529,North Vancouver
0,,not a road,23686827,North Vancouver
