"osm_id","id","lon","lat","dist","name","city","complete_dt","set","distance","osm_unique_id","complete","colour","info"
"23489114",3,-123.0374273,49.3518232,11.0278343407829,"McNair Drive","North Vancouver","2023-01-03","snap",1.45416337992291,"23489114-3",1,"green","osm_id: 23489114 id: 3 distance: 1.45"
"23489114",5,-123.037096,49.3518568,12.0778415859253,"McNair Drive","North Vancouver","2023-01-03","snap",0.275390738810587,"23489114-5",1,"green","osm_id: 23489114 id: 5 distance: 0.28"
"23489114",8,-123.036669,49.3519809,12.6282361523067,"McNair Drive","North Vancouver","2023-01-03","raw",1.0154048629908,"23489114-8",1,"green","osm_id: 23489114 id: 8 distance: 1.02"
"23489114",24,-123.030142,49.3549325,15.9590401067763,"McNair Drive","North Vancouver","2023-01-03","snap",1.2627298238035,"23489114-24",1,"green","osm_id: 23489114 id: 24 distance: 1.26"
"23489117",2,-123.0378189,49.3471562,99.8793801643247,"Mountain Highway","North Vancouver","2023-01-03","snap",0.940165511149872,"23489117-2",1,"green","osm_id: 23489117 id: 2 distance: 0.94"
"23489117",4,-123.0378901,49.3452833,100.838453646173,"Mountain Highway","North Vancouver","2023-01-03","snap",0.596124095746019,"23489117-4",1,"green","osm_id: 23489117 id: 4 distance: 0.6"
"23489117",5,-123.0379228,49.3443902,99.4477192380698,"Mountain Highway","North Vancouver","2023-01-03","snap",1.21508960916782,"23489117-5",1,"green","osm_id: 23489117 id: 5 distance: 1.22"
"23489117",6,-123.0379536,49.3434348,106.378097897973,"Mountain Highway","North Vancouver","2023-01-03","snap",4.76519955270301,"23489117-6",1,"green","osm_id: 23489117 id: 6 distance: 4.77"
"23489708",8,-123.0379536,49.3434348,8.33487699931893,"Wellington Drive","North Vancouver","2023-01-03","snap",4.76519955270301,"23489708-8",1,"green","osm_id: 23489708 id: 8 distance: 4.77"
"23489734",7,-123.0379228,49.3443902,54.7987899541253,"Doran Road","North Vancouver","2023-01-03","snap",1.21508960916782,"23489734-7",1,"green","osm_id: 23489734 id: 7 distance: 1.22"
"23489738",1,-123.0379228,49.3443902,0,"Doran Road","North Vancouver","2023-01-03","snap",1.21508960916782,"23489738-1",1,"green","osm_id: 23489738 id: 1 distance: 1.22"
"23622524",2,-123.0228964,49.347835,7.6126189556047,"Dempsey Road","North Vancouver","2023-01-03","snap",0.664222525244416,"23622524-2",1,"green","osm_id: 23622524 id: 2 distance: 0.66"
"23622545",7,-123.0378189,49.3471562,29.5461299288825,"Dyck Road","North Vancouver","2023-01-03","snap",0.940165511149872,"23622545-7",1,"green","osm_id: 23622545 id: 7 distance: 0.94"
"23622548",1,-123.0246829,49.3487389,0,"Evelyn Street","North Vancouver","2023-01-03","snap",3.02002316184559,"23622548-1",1,"green","osm_id: 23622548 id: 1 distance: 3.02"
"23622550",5,-123.0246829,49.3487389,102.404322010467,"Underwood Avenue","North Vancouver","2023-01-03","snap",3.02002316184559,"23622550-5",1,"green","osm_id: 23622550 id: 5 distance: 3.02"
"23622633",6,-123.0263526,49.3506998,104.986342609215,"Prime Street","North Vancouver","2023-01-03","snap",2.21415185203894,"23622633-6",1,"green","osm_id: 23622633 id: 6 distance: 2.21"
"23622853",2,-123.0286533,49.3423039,329.752397583332,"Dovercourt Road","North Vancouver","2023-01-03","raw",6.09578496165191,"23622853-2",1,"green","osm_id: 23622853 id: 2 distance: 6.1"
"23622856",1,-123.031595,49.3405897,0,"Frederick Road","North Vancouver","2023-01-03","snap",1.5661794593636,"23622856-1",1,"green","osm_id: 23622856 id: 1 distance: 1.57"
"23622856",12,-123.0380178,49.3416248,99.0175398886467,"Frederick Road","North Vancouver","2023-01-03","snap",4.00179812138194,"23622856-12",1,"green","osm_id: 23622856 id: 12 distance: 4"
"23625350",2,-123.0408488,49.3416515,198.063480339131,"Frederick Road","North Vancouver","2023-01-03","raw",196.88574354529,"23625350-2",0,"red","osm_id: 23625350 id: 2 distance: 196.89"
"23625350",3,-123.0402428,49.3416458,43.9576966642311,"Frederick Road","North Vancouver","2023-01-03","raw",152.968715343479,"23625350-3",0,"red","osm_id: 23625350 id: 3 distance: 152.97"
"23625350",4,-123.040137,49.3416448,7.67447088931005,"Frederick Road","North Vancouver","2023-01-03","raw",145.303892399971,"23625350-4",0,"red","osm_id: 23625350 id: 4 distance: 145.3"
"23625350",5,-123.0390562,49.3416346,78.3985485390776,"Frederick Road","North Vancouver","2023-01-03","raw",67.1300511049648,"23625350-5",0,"red","osm_id: 23625350 id: 5 distance: 67.13"
"23625350",6,-123.0380178,49.3416248,75.3229733534803,"Frederick Road","North Vancouver","2023-01-03","snap",4.00179812138194,"23625350-6",1,"green","osm_id: 23625350 id: 6 distance: 4"
"23625370",1,-123.0352743,49.3386079,0,"Church Street","North Vancouver","2023-01-03","snap",0.550532184014089,"23625370-1",1,"green","osm_id: 23625370 id: 1 distance: 0.55"
"23625914",2,-123.0325755,49.3400516,162.844019215553,"Allan Road","North Vancouver","2023-01-03","snap",2.52776789754708,"23625914-2",1,"green","osm_id: 23625914 id: 2 distance: 2.53"
"23626013",5,-123.0338376,49.3394409,8.78685304093314,"Upton Road","North Vancouver","2023-01-03","raw",2.40211983913334,"23626013-5",1,"green","osm_id: 23626013 id: 5 distance: 2.4"
"23626013",6,-123.0337853,49.3394034,5.64064008691949,"Upton Road","North Vancouver","2023-01-03","snap",1.12330371978352,"23626013-6",1,"green","osm_id: 23626013 id: 6 distance: 1.12"
